osebuildingid,datayear,buildingname,buildingtype,taxparcelidentificationnumber,address,city,state,zipcode,latitude,longitude,neighborhood,councildistrictcode,yearbuilt,numberoffloors,numberofbuildings,propertygfatotal,propertygfabuildings,propertygfaparking,selfreportgfatotal,selfreportgfabuildings,selfreportparking,energystarscore,siteeuiwn_kbtu_sf,siteeui_kbtu_sf,siteenergyuse_kbtu,siteenergyusewn_kbtu,sourceeuiwn_kbtu_sf,sourceeui_kbtu_sf,epapropertytype,largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,thirdlargestpropertyusetype,electricity_kwh,steamuse_kbtu,naturalgas_therms,compliancestatus,complianceissue,electricity_kbtu,naturalgas_kbtu,totalghgemissions,ghgemissionsintensity,demolished,secondlargestpropertyuse,thirdlargestpropertyusetypegfa
1,2023,MAYFLOWER PARK HOTEL,NonResidential,659000030,405 OLIVE WAY,SEATTLE,WA,98101,47.6122,-122.33799,DOWNTOWN,7,1927,12,1,88434,88434,0,88434,88434,0,61,89.40000153,90.09999847,7970388,7905224,168.1000061,170.1999969,Hotel,Hotel,88434,NA,NA,1047120,2797857,15998,Compliant,No Issue,3572773,1599760,332.1,3.76,False,,
2,2023,PARAMOUNT HOTEL,NonResidential,659000220,724 PINE ST,SEATTLE,WA,98101,47.61307,-122.33361,DOWNTOWN,7,1996,11,1,103566,88502,15064,103566,88502,15064,84,74,73.90000153,6539607,6545706,130.6999969,130.6000061,Hotel,Hotel,88502,Parking,NA,786237,,38570,Compliant,No Issue,2682640,3856970,220,2.49,False,15064,
3,2023,WESTIN HOTEL (Parent Building),NonResidential,659000475,1900 5TH AVE,SEATTLE,WA,98101,47.61367,-122.33822,DOWNTOWN,7,1969,41,3,956110,759392,196718,947059,827566,119493,75,77.59999847,77.69999695,64340116,64252124,165.5,165.6999969,Hotel,Hotel,827566,Parking,Swimming Pool,11121130,20494222,59006,Compliant,No Issue,37945296,5900600,2192.8,2.89,False,117783,0
5,2023,HOTEL MAX,NonResidential,659000640,620 STEWART ST,SEATTLE,WA,98101,47.61412,-122.33664,DOWNTOWN,7,1926,10,1,61320,61320,0,61320,61320,0,55,81,82.09999847,5033692,4966592,162.1999969,165.3000031,Hotel,Hotel,61320,NA,NA,780180,1248616,11231,Compliant,No Issue,2661973,1123100,176.1,2.87,False,,
8,2023,WARWICK SEATTLE HOTEL,NonResidential,659000970,401 LENORA ST,SEATTLE,WA,98121,47.61375,-122.34047,DOWNTOWN,7,1980,18,1,175580,113580,62000,203942,123445,80497,83,104,104.3000031,12875073,12838968,176.3999939,177.3000031,Hotel,Hotel,123445,Parking,Swimming Pool,1401668,,80926,Compliant,No Issue,4782491,8092580,456.6,4.02,False,68009,0
9,2023,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,660000560,810 VIRGINIA ST,SEATTLE,WA,98101,47.61623,-122.33657,DOWNTOWN,7,1999,2,1,97288,60090,37198,91726,50755,40971,,189.3000031,188.8999939,9589494,9607152,421.1000061,420.6000061,Police Station,Police Station,50755,Parking,NA,1888617,,31455,Compliant,No Issue,6443961,3145530,204.1,3.4,False,40971,
10,2023,CAMLIN WORLDMARK HOTEL,NonResidential,660000825,1619 9TH AVE,SEATTLE,WA,98101,47.6139,-122.33283,DOWNTOWN,7,1926,11,1,83008,83008,0,83008,83008,0,54,71.09999847,71.59999847,5945062,5904139,129.8000031,130.3000031,Hotel,Hotel,83008,NA,NA,766560,,33296,Compliant,No Issue,2615503,3329560,191.6,2.31,False,,
11,2023,PARAMOUNT THEATRE,NonResidential,660000955,901 PINE ST,SEATTLE,WA,98101,47.61327,-122.33136,DOWNTOWN,7,1926,8,1,102761,102761,0,102761,102761,0,,77.09999847,77.09999847,7921966,7927538,152.5,152.3999939,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761,NA,NA,1136493,3621917,4223,Compliant,No Issue,3877714,422330,338.2,3.29,False,,
12,2023,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,939000080,612 2ND AVE,SEATTLE,WA,98104,47.60294,-122.33263,DOWNTOWN,1,1904,15,1,163984,163984,0,163984,163984,0,59,91.09999847,92.19999695,15126471,14937919,174.1999969,175.3999939,Hotel,Hotel,163984,NA,NA,2157289,,77658,Compliant,No Issue,7360670,7765800,454.3,2.77,False,,
13,2023,LYON BUILDING,Multifamily MR (5-9),939000105,607 3RD AVE,SEATTLE,WA,98104,47.60284,-122.33184,DOWNTOWN,1,1910,6,1,63712,62216,1496,56132,56132,0,39,74.5,74.80000305,4197000,4180252,144,144.3999939,Multifamily MR (5-9),Multifamily Housing,38407,Office,Medical Office,583549,1386849,8191,Compliant,No Issue,1991069,819080,167.3,2.69,False,12139,5586
